Title,Synopsis,"Award Type","Next due date (Y-m-d)","Proposals accepted anytime","Program ID","NSF/PD Num",Status,"Posted date (Y-m-d)",URL,Type,"Solicitation URL"
"Education and Broadening Participation in Earth Sciences (EAR EBP)","The Division of Earth Sciences' Education and Broadening Participation Program (EBP) facilitates activities that engage a wide range of audiences in Earth Sciences research efforts, which are:
1) Research Experiences for Undergraduates and Teachers: This program provides funding to academic institutions that allows them to offer summer internships to undergraduate students and opportunities for teachers who would like to participate in earth sciences related research efforts.  2) EAR Postdoctoral Fellowships: The Division of Earth Sciences (EAR) awards 2-year Postdoctoral Fellowships to highly qualified investigators within 24 months of obtaining their PhD to carry out an integrated program of independent research and professional development. 3) Faculty Early Career Development (CAREER): This program supports pre-tenure researchers who would like to combine their research efforts with excellent educational programs.  EAR EBP prioritizes co-funding of CAREER awards that include a focus on broadening participation in the geosciences. 4) Unsolicited (“ad hoc”) Proposals: Creative efforts to support recruitment and retention of talented individuals in Earth sciences are also supported as “ad hoc” proposals submitted through EAR Education & Broadening Participation. PIs are advised that they must submit a concept outline prior to submission of an ad hoc EBP proposal. This will aid in determining the appropriateness of the work for consideration by this program. Outlines should be submitted by email to a cognizant program officer.  See the Proposal and Award Policy and Procedures Guide (PAPPG) Chapter I.D.1 for additional information on concept outlines.","standard, continuing",,1,506406,pd251575,Cleared,2025-04-11,https://www.nsf.gov/funding/opportunities/ear-ebp-education-broadening-participation-earth-sciences/pd25-1575,Program,https://www.nsf.gov/policies/pappg
"The Research on Research Security Program (RoRS)","NSF is committed to securing the nation's research enterprise as part of its core mission. The Research on Research Security (RoRS) program will advance the understanding of the full scope, potential, challenges, and nature of the research on research security field through scholarly evidence.
 
Background
The following activities provide background and context for developing proposals to submit to the RoRS program.

The foundational legislative and policy documents include National Security Presidential Memorandum-33 (NSPM-33) and its associated supporting documents, as well as research security provisions in CHIPS and Science Act 2022.
In 2022 NSF asked JASON to consider what a research program on research security might entail and how it would be defined. The findings are summarized in the report (JSR-22-08), Research Program on Research Security.
The 2024 NSF-funded workshop, Responsible Collaboration Through Appropriate Research Security: A Workshop To Discuss and Study the Emergent Discipline of Research on Research Security, identified current themes, major issues, and challenges in research security.

 
Program Description
Collectively, the research that RoRS funds will foster a broad community that builds collaborations between the STEM research community, research security researchers, and research security practitioners. Interdisciplinary approaches are encouraged, and proposers should address how they will leverage the range of expertise, theories, and methods of the team to engage in evidence-based research on research security. Proposers are encouraged to identify collaborators across a wide range of sectors, and to consider projects in collaboration with international partners that share U.S. concerns with research security, when appropriate.
RoRS encourages the following types of proposals to help build the emerging field of research on research security. (See the PAPPG for guidance on preparing specific proposal types.)

Conferences and Workshops
Planning Grants
Early-concept Grants for Exploratory Research (EAGER)

Proposal topics may include, but are not limited to, the following:

The nature and pervasiveness of research security threats.
Methods for identifying research security risks, and strategies for preventing and mitigating them.
Methods for strengthening research security protocol and approaches.
The complex relationships between human behavior and research security policies.
Research security policies and their implications.
Research on organizational change around systemic and cultural factors as they pertain to research security.
Research on research security in the context of a particular field or discipline, especially in high-risk areas.
The international dimensions of research security.

Collectively, RoRS seeks to fund research projects with the following characteristics:

Produce data, analysis, theory, and tools that inform current and future decision-making on U.S. research security.
Use rigorous empirical methods to advance understanding of the factors that influence research security.
Build upon established methodologies from diverse fields of study to ensure that RoRS develops quickly and efficiently into a robust, mature discipline with its own novel approaches.
Develop innovative strategies to leverage previously unidentified, unconnected, and/or inaccessible sources of data.

Prospective PIs are strongly encouraged review NSF Research Security resources and to contact the cognizant RoRS program director(s) prior to submission. Proposals should be prepared and submitted following the guidance in the NSF Proposal & Award Policies & Procedures Guide (PAPPG).
 
 ",,,1,506428,pd25275Y,Cleared,2025-04-11,https://www.nsf.gov/funding/opportunities/rors-research-research-security-program/pd25-275y,Program,https://www.nsf.gov/policies/pappg
"Incorporating Human Behavior in Epidemiological Models (IHBEM)","The Incorporating Human Behavior in Epidemiological Models (IHBEM) program supports research that incorporates social and behavioral processes in mathematical epidemiological models. The program provides support for projects that involve integrated participation from the mathematical and social, behavioral, and economic sciences.","standard, continuing, other","2025-07-14, 2025-07-14",,505991,nsf25538,Cleared,2025-04-10,https://www.nsf.gov/funding/opportunities/ihbem-incorporating-human-behavior-epidemiological-models/nsf25-538,Program,https://www.nsf.gov/funding/opportunities/ihbem-incorporating-human-behavior-epidemiological-models/nsf25-538/solicitation
"NSF-DFG Lead Agency Opportunity in Chemistry and Chemical Process and Transport Systems","Recognizing the importance of international collaborations in promoting scientific discoveries, the National Science Foundation (NSF) and the Deutsche Forschungsgemeinschaft (German Research Foundation, DFG) have signed a Memorandum of Understanding (MoU) on research cooperation. The MoU provides an overarching framework to enhance opportunities for collaborative activities between US and German research communities and sets out the principles by which jointly supported activities might be developed. To facilitate the support of collaborative work between US researchers and their German counterparts under this MoU, the Division of Chemistry (CHE) and the Division of Chemical, Bioengineering, Environmental and Transport Systems (CBET) at NSF and the Divisions of Physics and Chemistry (PC) and Engineering Sciences (ING 1) at DFG are pleased to announce a Lead Agency Opportunity for Collaborative Research in Chemistry and Chemical Process and Transport Systems.
The goal of this Lead Agency Opportunity is to reduce barriers to working internationally by allowing US and German researchers to submit a single collaborative proposal that will undergo a single review process while funding organizations maintain budgetary control over their awards.  Proposals eligible for funding consideration through this Lead Agency Opportunity should review the CHE, CBET, PC, and ING 1 program descriptions for research supported through these divisions/organizations. Proposals are expected to adhere to typical proposal budgets and durations for the relevant CHE, CBET, PC, and ING 1 programs from which funding is sought. A list of participating NSF programs can be found at: https://www.nsf.gov/od/oise/IntlCollaborations/Germany.jsp. German researchers are invited to read: www.dfg.de/nsf-che-cbet.
Proposals submitted under this Opportunity will be reviewed by either NSF or DFG as the Lead Agency, depending on where the largest proportion of research lies. Proposals must provide a clear rationale for the need for a US-German collaboration, including the unique expertise and synergy that the collaborating groups will bring to the project. The result of the review process will be shared among the appropriate divisions (NSF/CHE and/or NSF/CBET, and DFG/PC and/or DFG/ING 1) before making final recommendations.","standard, continuing",,1,505800,nsf25537,Cleared,2025-04-10,https://www.nsf.gov/funding/opportunities/nsf-dfg-lead-agency-opportunity-chemistry-chemical-process/nsf25-537,Program,https://www.nsf.gov/funding/opportunities/nsf-dfg-lead-agency-opportunity-chemistry-chemical-process/nsf25-537/solicitation
"Responsible Design, Development, and Deployment of Technologies (ReDDDoT)","The Responsible Design, Development, and Deployment of Technologies (ReDDDoT) program invites proposals from multidisciplinary, multi-sector teams that inform, explore, and execute the principles, methodologies, implementations, and impacts associated with responsible design, development, and deployment of technologies, with a focus on artificial intelligence; biotechnology; and/or natural and anthropogenic disaster prevention or mitigation. The program has two primary aims: 1) to support and strengthen collaborations across disciplines and sectors, such as academia, industry, non-profit, and government for technology translation; and 2) to ensure that ethical, legal, and societal considerations and community values are embedded across the design, development, and deployment of use-inspired technology to promote the public's wellbeing.


The broad goals of the ReDDDoT program include:   



Accelerating innovation in use-inspired and translational research for the responsible design, development, and deployment of technologies;  
Creating broad communities of interest that bring together partners and participants from across disciplines and sectors to better inform practices for the design, development, and deployment of technologies;   
Educating and training the science, technology, engineering, and mathematics (STEM) workforce on approaches to responsible design, development, and deployment of technologies;  
Facilitating societal and economic benefits while developing strategies to avoid or mitigate harms; and 
Empowering all Americans to participate in technology development, including the earliest stages of design. 



In FY25, the program will consider proposals for three project types: Execute, Explore, and Inform (Workshop). Execute Projects are for established teams with demonstrated relevant experience and relationships to execute activities that will have a significant and sustainable impact on the responsible design, development, or deployment of technologies. Explore Projects are for exploratory and formative activities that identify, validate, or test specific approaches to responsible design, development and deployment and strengthen the ability of teams to work across disciplines and sectors. Inform (Workshop) Projects are for convenings and products that harness expertise and inform activities across ecosystems of researchers, practitioners, and communities in responsible design, development, and deployment of technologies. (See Section II.C for more details on each project type.) 

In FY25, all proposals should focus on one or more of the following three technology areas: artificial intelligence; biotechnology; and/or natural and anthropogenic disaster prevention or mitigation.  



 ",standard,"2025-07-08, 2025-07-08",,506215,nsf25536,Cleared,2025-04-08,https://www.nsf.gov/funding/opportunities/redddot-responsible-design-development-deployment-technologies/nsf25-536,Program,https://www.nsf.gov/funding/opportunities/redddot-responsible-design-development-deployment-technologies/nsf25-536/solicitation
"Fire Science Innovations through Research and Education (FIRE)","Wildland fire is a powerful force on the planet, one that is rapidly accelerating in complexity beyond our current understanding. A new approach is needed. This approach requires a proactive and scalable perspective that recognizes the variety and connectedness of components of wildland fire. Coordinated scientific research and education that enables large-scale, cross-cutting breakthroughs to transform our understanding of wildland fire is urgently needed. In an era of rapid change, our society needs forward-looking research built on new frameworks that will realign our relationship with wildland fire.
The Fire Science Innovations through Research and Education (FIRE) program invites innovative multidisciplinary and multisector investigations focused on convergent research and education activities in wildland fire. All areas of science, engineering, and education supported by the U.S. National Science Foundation are included in this program. Projects developed by a wide array of groups including, for example, academics, educators, scientists, community members, students, industry partners, practitioners, resource managers, and Tribal representatives, working together to generate new knowledge of the interactions among biological, social, geoscientific, and engineering processes encompassing multiple fields, scales, and perspectives on wildland fire are encouraged.
To advance convergent research and education in wildland fire science, FIRE proposals should demonstrate strengths in one or more of the following areas: (1) new advances in data collection, storage, and sharing relevant to wildland fire dynamics, including Earth observations; (2) new modeling and computational approaches to understand wildland fire (including artificial intelligence and machine learning approaches); (3) new understanding of the cross-scale interactions of wildland fire across local, regional and global extents; (4) new insights into community adaptation and governance relevant to wildland fire; (5) new approaches to reduce the vulnerability of built infrastructure, natural fuels, and social systems to wildland fire; and (6) engagement of a variety of community members and stakeholders to promote a forward-looking approach to wildland fire science.
NSF manages the review of proposals in consultation with partner organizations. Copies of proposals and unattributed reviews will be shared with the partner organizations, as appropriate.
FIRE supports research proposals and conference (network) proposals that focus on one or more of the following elements:
Focus area 1: Next Generation Coupled Fire Models (FIRE-MODEL)
Understanding wildland fires and smoke requires new predictive approaches and models to capture the full spatial and temporal range of unresolved dynamics. Furthermore, model development efforts necessitate well-coordinated experiments ranging from laboratory to landscape scales, along with state-of-the-art data management and analysis approaches. To reduce the current large uncertainties associated with fire models and to discover new weather-fire coupling phenomena driving the increasing frequency of large-scale fires worldwide, advanced experimental, theoretical, and computational methods are needed. The impacts of improved models include increased accuracy, better integration of Earth observation data, more efficient planning of prescribed burns, effective training of work force, timely warnings, and better management of limited human/equipment resources.
Successful FIRE-MODEL proposals are suggested to address the following key themes:

Innovative models, methods and algorithms for fire phenomena at disparate spatio-temporal scales, including systematic quantification of various sources of uncertainties and holistic verification and validation of the developed tools and technologies;  
Improvement of models with key measurable parameters spanning the full array of wildland fire factors as well as methods to bridge gaps of missing data;
Incorporation of the underlying processes operating on fast and slow timescales, to potentially enable predictive fire ecology, exploration of possible future fire regimes, and forecasting of future wildland fires; and
Novel mathematical and statistical methodologies and use-inspired technologies to accelerate experiments on wildland fire and smoke dynamics and reliably infer the associated uncertainties; such directions may include but are not limited to surrogate models and digital twins.

Focus area 2: Enhancing Capacity for Fire Resilience in the Wildland-Urban Interface (FIRE-WUI)
The space where the built environment and wildland vegetation meet is referred to as the wildland-urban interface (hereafter WUI). It represents a critical nexus of potential human-fire interaction, where lives, infrastructure, and communities are often most vulnerable to wildfire. Research related to the complexities of the WUI requires a convergent, multidisciplinary approach to improve understanding of wildland fire, which can inform risk management and response, adaptation and resilience across infrastructures, communities, cultures, and natural environments.
Considering impacts of wildland fire at the WUI in the context of global change, including demographics, ecosystems, land use and development, FIRE-WUI awards will support research that may for example:

Inform community adaptation and governance relevant to wildland fire;
Investigate public perceptions and understanding of wildland fire as well as decision making and communication and the resultant impact on livelihoods and cultural heritage; 
Promote better understanding of the socioeconomic disparities related to the impacts of wildfire on remote rural communities;
Test and model behaviors of building materials, structures, and infrastructures under wildfire loads;
Develop novel materials, methods, and technologies for retrofitting existing buildings and remediating buildings following wildfire and smoke events;
Create robust wildfire risk scenarios and algorithms for evaluating cascading failures and community-scale vulnerability.

Focus area 3: Fire Science Innovations through Research and Education (FIRE) Networks (FIRE-NET)
FIRE-Network projects will build new collaborative teams to synthesize aspects of wildland fire science and develop strategies for tackling key gaps. These networks will advance wildland fire research, or create new directions in research or education by supporting groups of investigators to communicate and coordinate their research, training, and educational activities across disciplinary, organizational, geographic, and international boundaries. Exchanging knowledge and information across and among different groups is encouraged. Projects will provide opportunities to foster new collaborations, including those with international partners where appropriate, and will address interdisciplinary knowledge and data exchange focused on wildland fire research and education.
Successful FIRE-NET conference proposals are encouraged to include but are not limited to the following types of activities:

Leveraging existing and developing data resources to support the development of new wildland fire-related research directions and educational activities;
Employing novel networking strategies and collaborative training technologies to enhance coordination among a variety of fields and knowledge holders;
Developing community standards for data and meta- data use and management in wildland fire research;
Developing mechanisms to share information and ideas, such as bringing together disparate data sources including Earth observation data;
Advancing wildland fire-related science and education through communication, data analysis, ideas sharing, novel collaborations, and workforce development.   

Particular areas of interest for FIRE-NETs include developing partnerships among groups that are not currently working together that might include multiple sectors, such as scientists from various disciplines, government representatives, resource managers, operational organizations, and community members. Small to large scale conference proposals that bring together different parts of the community to build a highly-functioning team are encouraged.",,"2025-06-20, 2025-06-20",,506410,pd25345Y,Cleared,2025-03-13,https://www.nsf.gov/funding/opportunities/fire-fire-science-innovations-through-research-education/pd25-345y,Program,https://www.nsf.gov/policies/pappg
"Infrastructure Systems and People (ISP)","Infrastructure systems comprise complex connections between physical components, organizational structures and operational methods that support the needs of people and communities at the local, regional, national, and global scales.  Such systems form the backbone of society, providing essential services as well as ensuring public health and welfare, economic prosperity and national security, and are expected to function under all operational conditions. 
 
Meanwhile, infrastructure systems are capital intensive and vulnerable to disruptions from extreme events, including natural disasters, social crises, and malicious attacks. Disruptions in one system can have cascading impacts on others in space and over time. Moreover, short- versus long-term trade-offs, unintended consequences, and maladaptation are not often accounted for. How systems function at the “extreme,” which can be due to disruptors from the introduction of innovation, the convergence of technologies, sudden changes to their utilization and access, dramatic changes in operating environments, and changes to demand during crises are of particular interest. To ensure the efficiency, sustainability, and resilience, and user-equity of infrastructure systems, it is important to continuously improve and optimize their design, operations, system monitoring and performance assessment in dynamic, uncertain and sometime unknown environments. While functioning at extremes is of interest, the program also supports infrastructure systems research under the full range of operating conditions, across a variety of hazards, and in urban, suburban, and rural communities.
 
The program particularly encourages interdisciplinary and multidisciplinary exploration that will open new research frontiers and significantly broaden and transform relevant research communities. The program welcomes research that addresses novel system integration, user-inspired system and service design, data analytics, and socio-technical studies focused on engineering and system innovation during normal and extreme conditions. The program also values innovative research efforts focused on collecting, standardizing, and sharing large-scale databases of real-world infrastructure systems and people-infrastructure interactions during normal and extreme operating conditions, which can be instrumental in providing benchmarks for model verification and validationand for advancing future research innovation in ISP.  
 
The ISP program supports research on lifeline systems and communities that contributes to the National Science Foundation’s role in the National Earthquake Hazards Reduction Program (NEHRP) and the National Windstorm Impact Reduction Program (NWIRP). Principal Investigators are encouraged to leverage NSF’s investments in the Natural Hazards Engineering Research Infrastructure (NHERI) experimental, computational modeling and simulation, and data resources (https://www.designsafe-ci.org/) in their research to accelerate advances needed for reducing the impacts of natural hazards on infrastructures and people.
 
While physics-based subject-matter knowledge may be crucial in many research efforts, the program does not support research whose primary methodological contribution focuses on individual infrastructure components without a systems research perspective whose primary methodological focus is on geotechnical and structural engineering, material sciences, architectural engineering, wireless communication and sensor technology, human factors, and/or hydrologic or environmental engineering.
 
Proposers are actively encouraged to email a one-page project summary to the ISP Program Officers before submitting a full proposal for guidance on whether the proposed research topic falls within the scope of the ISP program; this guidance should especially be requested for multi-disciplinary research proposals, and proposals for which research and/or development on the subject infrastructure(s) are also supported by other federal and/or state agencies.",,,1,506398,pd25342Y,Cleared,2025-01-24,https://www.nsf.gov/funding/opportunities/isp-infrastructure-systems-people/pd25-342y,Program,https://www.nsf.gov/policies/pappg
"Launching Early-Career Academic Pathways in the Mathematical and Physical Sciences","The Launching of Early-Career Academic Pathways in the Mathematical and Physical Sciences (LEAPS-MPS) supports the launch of the careers of pre-tenure faculty whose research is in Mathematical and Physical Sciences (MPS) fields at institutions that do not traditionally receive significant amounts of MPS funding, such as Carnegie Research 2 (R2) universities, minority-serving institutions (MSIs), predominantly undergraduate institutions (PUIs).
The LEAPS awards enable PIs from these institutions to initiate productive research programs and generate results useful for preparing subsequent competitive proposals to “traditional” NSF funding opportunities, such as a core program or a CAREER solicitation. A critical goal of the LEAPS-MPS Program is to develop the 21st-century STEM workforce representative of society’s full spectrum of talent by increasing the participation in STEM research of members of communities underrepresented and/or underserved in STEM and the number of members of these communities who can serve as role models.
Awards are for 24 months with budgets of up to $250,000 total costs (direct plus indirect).
Proposals in response to this solicitation must be submitted for consideration to the appropriate program in one of the five MPS Divisions.",standard,"2025-04-17, 2025-04-17",,505892,nsf25535,Cleared,2025-01-17,https://www.nsf.gov/funding/opportunities/launching-early-career-academic-pathways-mathematical/nsf25-535,Program,https://www.nsf.gov/funding/opportunities/launching-early-career-academic-pathways-mathematical/nsf25-535/solicitation
"Strengthening American Infrastructure (SAI)","Strengthening American Infrastructure (SAI) is an NSF program seeking to stimulate human-centered, use-inspired, fundamental and potentially transformative research aimed at strengthening America’s infrastructure. Effective infrastructure provides a strong foundation for socioeconomic vitality and broad improvement in quality of life. Robust, reliable and effective infrastructure spurs private-sector innovation, grows the economy, creates jobs, makes public-sector service provision more efficient, strengthens communities, promotes equal opportunity, protects the natural environment, enhances national security and fuels American leadership. Achieving these objectives requires the integration of expertise from across all science and engineering disciplines. SAI focuses on how fundamental knowledge about human reasoning and decision-making, governance, and social and cultural processes enables the building and maintenance of effective infrastructure that improves lives and society and builds on advances in technology and engineering. Successful projects will represent a convergence of expertise in one or more social, behavioral or economic sciences, deeply integrated with other disciplines to support substantial and potentially pathbreaking fundamental research applied to strengthening a specific focal infrastructure.
General inquiries regarding this funding opportunity should be sent to NSF-SAI@nsf.gov.",standard,"2025-04-17, 2025-04-17",,506000,nsf25534,Cleared,2025-01-15,https://www.nsf.gov/funding/opportunities/sai-strengthening-american-infrastructure/nsf25-534,Program,https://www.nsf.gov/funding/opportunities/sai-strengthening-american-infrastructure/nsf25-534/solicitation
"Findable Accessible Interoperable Reusable Open Science (FAIROS)","The FAIROS Program seeks to support a broad range of transformative open science activities including but not limited to i.) Research, education, and socio-technical cyberinfrastructure development capacities that advance sustainable multi-disciplinary findable, accessible, interoperable, reusable (FAIR) research data management (RDM) and open science capabilities, ii.) Piloting new models of scientific communication and publication that improve efficiency and accessibility, iii.) Developing FAIROS data portals, research data commons, RDM as a national service, and iv.) Lowering barriers to accessing, curating, integrating, linking, managing, sharing, and storing data across many disciplinary domains, irrespective of data size.
The program supports innovation across the cyberinfrastructure (CI) ecosystem to address accessibility, data curation, research data management,  discoverability, reliability, reproducibility, preservation, sustainability, and utility of research products, including data software, and code, developed as part of funded projects.
FAIROS proposals must select one of two tracks to focus on, either: 1) Disciplinary Improvements to targeted scientific communities, or 2) Cross-Cutting Improvements that apply to many or most scientific disciplines. In the case of proposals focused on Disciplinary Improvements, it is strongly recommended that prospective PIs contact a program officer from the list of Cognizant Program Officers in the directorate closest to the major disciplinary impact of the proposed work to ascertain that the scientific focus and budget of the proposed work are appropriate for this solicitation. In the case of proposals focused on Cross-Cutting Improvements, it is strongly recommended that prospective PIs contact the cognizant program officer from the Office of Advanced Cyberinfrastructure (OAC). 
After selecting either Disciplinary Improvements or Cross-Cutting Improvements in which to focus research, the proposal must include the kinds of activities relevant to the selected track.  Standard research proposals are the only type of proposal accepted in response to this solicitation.
The FAIROS Program is undertaken in support of the US NSF Public Access Initiative.
For more information on the US NSF Public Access Initiative please visit https://new.nsf.gov/public-access.","standard, continuing, coop","2026-04-08, 2026-04-08",,505943,nsf25533,Cleared,2025-01-06,https://www.nsf.gov/funding/opportunities/fairos-findable-accessible-interoperable-reusable-open-science/nsf25-533,Program,https://www.nsf.gov/funding/opportunities/fairos-findable-accessible-interoperable-reusable-open-science/nsf25-533/solicitation
